[2026-08-24T20:08:22.157Z] GET http://localhost:8900/ → 200 (2ms, 34041B)
[2026-08-24T20:08:22.164Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (2ms, 38132B)
[2026-08-24T20:08:22.164Z] GET http://localhost:8900/styles.css → 200 (1ms, 24889B)
[2026-08-24T20:08:22.164Z] GET http://localhost:8900/script.js → 200 (3ms, 6448B)
[2026-08-24T20:08:22.173Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (10ms, 92164B)
[2026-08-24T20:09:51.463Z] GET http://localhost:8900/ → 200 (1ms, ?B)
[2026-08-24T20:09:51.467Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 304 (1ms, ?B)
[2026-08-24T20:09:51.467Z] GET http://localhost:8900/styles.css → 200 (?ms, 24891B)
[2026-08-24T20:09:51.467Z] GET http://localhost:8900/script.js → 304 (1ms, ?B)
[2026-08-24T20:09:51.469Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 304 (?ms, ?B)
[2026-08-24T20:09:51.500Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (1ms, 65083B)
[2026-08-24T20:09:52.859Z] GET http://localhost:8900/ → 200 (1ms, -187B)
[2026-08-24T20:09:52.862Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:52.862Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:09:52.862Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:52.863Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:52.864Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:52.900Z] GET http://localhost:8900/exa.png → 200 (1ms, 49075B)
[2026-08-24T20:09:54.262Z] GET http://localhost:8900/ → 200 (?ms, -187B)
[2026-08-24T20:09:54.265Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:54.265Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:09:54.265Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:54.266Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:54.266Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:09:54.267Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:55.643Z] GET http://localhost:8900/ → 200 (?ms, -187B)
[2026-08-24T20:09:55.645Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:55.646Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:09:55.646Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:55.646Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:55.646Z] GET http://localhost:8900/exa.png → 200 (1ms, -187B)
[2026-08-24T20:09:55.648Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:57.034Z] GET http://localhost:8900/ → 200 (1ms, -187B)
[2026-08-24T20:09:57.037Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:57.037Z] GET http://localhost:8900/styles.css → 304 (1ms, ?B)
[2026-08-24T20:09:57.038Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:57.038Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:57.038Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:09:57.039Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:58.421Z] GET http://localhost:8900/ → 200 (1ms, -187B)
[2026-08-24T20:09:58.424Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:58.424Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:09:58.424Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:58.425Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:58.425Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:09:58.426Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:59.811Z] GET http://localhost:8900/ → 200 (1ms, -187B)
[2026-08-24T20:09:59.814Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:09:59.814Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:09:59.814Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
[2026-08-24T20:09:59.815Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:09:59.815Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:09:59.816Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:01.200Z] GET http://localhost:8900/ → 200 (?ms, -187B)
[2026-08-24T20:10:01.202Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:01.202Z] GET http://localhost:8900/styles.css → 304 (1ms, ?B)
[2026-08-24T20:10:01.202Z] GET http://localhost:8900/script.js → 304 (1ms, ?B)
[2026-08-24T20:10:01.203Z] GET http://localhost:8900/assets/mascots/exa-sit.png → 200 (?ms, -187B)
[2026-08-24T20:10:01.203Z] GET http://localhost:8900/exa.png → 200 (?ms, -187B)
[2026-08-24T20:10:01.204Z] GET http://localhost:8900/fonts/JetBrainsMono-Regular.woff2 → 200 (1ms, -188B)
[2026-08-24T20:10:02.564Z] GET http://localhost:8900/ → 200 (?ms, -187B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/fonts/GeneralSans-Variable.woff2 → 200 (?ms, -188B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/styles.css → 304 (?ms, ?B)
[2026-08-24T20:10:02.566Z] GET http://localhost:8900/script.js → 200 (?ms, -192B)
